Date,Open,High,Low,Close,Adj Close,Volume
2018-09-20,null,null,null,null,null,null
2018-09-21,23848.630859,23971.410156,23764.050781,23869.929688,23869.929688,120600
2018-09-24,null,null,null,null,null,null
2018-09-25,23881.849609,23950.980469,23808.949219,23940.259766,23940.259766,100800
2018-09-26,23846.599609,24033.789063,23833.919922,24033.789063,24033.789063,84200
2018-09-27,23946.429688,24089.320313,23778.039063,23796.740234,23796.740234,76200
2018-09-28,24080.009766,24286.099609,24021.269531,24120.039063,24120.039063,90700
2018-10-01,24173.369141,24306.539063,24123.500000,24245.759766,24245.759766,65000
2018-10-02,24376.169922,24448.070313,24217.259766,24270.619141,24270.619141,80500
2018-10-03,24219.189453,24260.630859,24030.589844,24110.960938,24110.960938,71300
2018-10-04,24242.060547,24247.820313,23923.259766,23975.619141,23975.619141,89400
2018-10-05,23781.759766,23928.619141,23730.189453,23783.720703,23783.720703,84600
2018-10-08,null,null,null,null,null,null
2018-10-09,23550.470703,23587.050781,23442.460938,23469.390625,23469.390625,86500
2018-10-10,23538.919922,23589.380859,23373.539063,23506.039063,23506.039063,70600
2018-10-11,23043.369141,23051.189453,22459.019531,22590.859375,22590.859375,115300
2018-10-12,22323.429688,22711.130859,22323.429688,22694.660156,22694.660156,99500
2018-10-15,22501.330078,22520.589844,22261.919922,22271.300781,22271.300781,79900
2018-10-16,22298.199219,22549.240234,22269.529297,22549.240234,22549.240234,70100
2018-10-17,22806.589844,22959.410156,22765.580078,22841.119141,22841.119141,72100
2018-10-18,22871.279297,22873.130859,22637.289063,22658.160156,22658.160156,64300
2018-10-19,22342.000000,22551.669922,22212.570313,22532.080078,22532.080078,67400
