Date,Open,High,Low,Close,Adj Close,Volume
2018-09-20,13183.660156,13238.740234,13173.709961,13225.110352,13225.110352,3337730000
2018-09-21,13243.419922,13261.769531,13228.740234,13236.440430,13236.440430,5607610000
2018-09-24,13235.209961,13237.809570,13148.669922,13162.049805,13162.049805,3372210000
2018-09-25,13203.900391,13215.259766,13154.559570,13160.599609,13160.599609,3285480000
2018-09-26,13164.820313,13203.980469,13093.089844,13101.959961,13101.959961,3388620000
2018-09-27,13111.990234,13164.679688,13097.089844,13105.719727,13105.719727,3060850000
2018-09-28,13071.400391,13121.349609,13065.929688,13082.519531,13082.519531,3432300000
2018-10-01,13146.299805,13169.799805,13099.940430,13125.349609,13125.349609,3364190000
2018-10-02,13108.740234,13129.019531,13069.150391,13106.009766,13106.009766,3401880000
2018-10-03,13146.679688,13175.610352,13101.139648,13118.549805,13118.549805,3598710000
2018-10-04,13089.230469,13099.370117,12975.870117,13042.299805,13042.299805,3496860000
2018-10-05,13043.469727,13069.129883,12935.650391,12991.950195,12991.950195,3328980000
2018-10-08,12955.690430,13014.919922,12913.360352,13000.139648,13000.139648,3330320000
2018-10-09,12970.179688,13008.519531,12926.160156,12960.450195,12960.450195,3520500000
2018-10-10,12952.120117,12952.709961,12620.280273,12622.129883,12622.129883,4501250000
2018-10-11,12574.589844,12625.919922,12299.049805,12349.530273,12349.530273,4890630000
2018-10-12,12485.240234,12501.559570,12304.839844,12439.419922,12439.419922,3966040000
2018-10-15,12437.740234,12519.120117,12408.700195,12425.679688,12425.679688,3300140000
2018-10-16,12425.679688,12653.889648,12425.679688,12645.950195,12645.950195,3428340000
2018-10-17,12612.179688,12646.459961,12507.929688,12613.049805,12613.049805,3321710000
2018-10-18,12570.660156,12601.790039,12397.250000,12445.480469,12445.480469,3616440000
2018-10-19,12469.700195,12558.610352,12434.919922,12457.269531,12457.269531,3566490000
